Benchmark;Size;Score (ns/op)
"testPoll";40000;95476.91912293661
"testPoll";50000;114348.34908470153
"testPoll";60000;137553.0172687532
"testPoll";70000;161262.9679218189
"testPoll";80000;184023.72047750495
"testPoll";90000;207160.3447851657
"testPoll";100000;232113.4908227907
"testRemoveAll";10000;83367.85388523579
"testRemoveAll";20000;158494.91364276837
"testRemoveAll";30000;238545.0663317538
"testRemoveAll";40000;301571.2282425892
"testRemoveAll";50000;374811.61541194026
"testRemoveAll";60000;455998.7112264348
"testRemoveAll";70000;548791.2013694015
"testRemoveAll";80000;651067.9140717452
"testRemoveAll";90000;721263.1466728235
"testRemoveAll";100000;799514.0690658161
"testRemoveHead";10000;32473.46533306943
"testRemoveHead";20000;56989.063519759264
"testRemoveHead";30000;75193.54401976246
"testRemoveHead";40000;95618.36635976251
"testRemoveHead";50000;114121.50496442858
"testRemoveHead";60000;138894.3827354534
"testRemoveHead";70000;161516.61343692266
"testRemoveHead";80000;185147.95138986685
"testRemoveHead";90000;207812.43309249726
"testRemoveHead";100000;231912.02411117527
"testRemoveObject";10000;46148.61848045062
"testRemoveObject";20000;73969.46973681488
"testRemoveObject";30000;99621.30980528987
"testRemoveObject";40000;132827.6064456816
"testRemoveObject";50000;168520.8112635789
"testRemoveObject";60000;200823.11399837094
"testRemoveObject";70000;233376.1955466425
"testRemoveObject";80000;269336.35179757344
"testRemoveObject";90000;295146.6397051329
"testRemoveObject";100000;331382.1494667257
"testRetainAll";10000;91806.60463317733
"testRetainAll";20000;162838.02283580243
"testRetainAll";30000;244015.1623626332
"testRetainAll";40000;318809.34050893784
"testRetainAll";50000;410257.31582655
"testRetainAll";60000;496181.71078874107
"testRetainAll";70000;579754.0659473285
"testRetainAll";80000;662864.3042717591
"testRetainAll";90000;766352.651455501
"testRetainAll";100000;815569.2781059147
"testSize";10000;14.262580534776458
"testSize";20000;14.816420342043347
"testSize";30000;15.128051123141418
"testSize";40000;19.23254110899419
"testSize";50000;22.09183634675228
"testSize";60000;25.676259575793477
"testSize";70000;27.47538201439047
"testSize";80000;30.599758931758185
"testSize";90000;30.930448051453034
"testSize";100000;31.14615317446112
"testToArray";10000;12662.175397474757
"testToArray";20000;25474.248836556355
"testToArray";30000;38552.168686408964
"testToArray";40000;51569.98461533697
"testToArray";50000;66571.40221978464
"testToArray";60000;79746.62527340685
"testToArray";70000;88178.11147031805
"testToArray";80000;100880.52922337726
"testToArray";90000;118014.76371338291
"testToArray";100000;130396.44328026629
"testToArrayWithType";10000;15548.207180481873
"testToArrayWithType";20000;30894.73768918527
"testToArrayWithType";30000;44834.36408503686
"testToArrayWithType";40000;57277.539090415245
"testToArrayWithType";50000;74042.5068074435
"testToArrayWithType";60000;86429.37509218598
"testToArrayWithType";70000;103620.00956458694
"testToArrayWithType";80000;113728.16881606824
"testToArrayWithType";90000;128765.35522326145
"testToArrayWithType";100000;143947.95893794266
"testToString";10000;158130.5467875713
"testToString";20000;358160.32760228065
"testToString";30000;506848.0899740077
"testToString";40000;638105.204319059
"testToString";50000;811423.5709944483
"testToString";60000;1012445.2109506136
"testToString";70000;1151706.5791574651
"testToString";80000;1230154.9801606033
"testToString";90000;1461013.5522004205
"testToString";100000;1744670.8481374956
